complete_response	user_id	video_id	campaign_id	session_id	user_role	user_region	video_region	category	organic_category_rate	organic_category_count	organic_overall_rate	organic_overall_count	afinidad_exploratoria
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-140fe9db-dab3-4a82-bce2-66c8c251c63c	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
0	4bb2af2c-585a-4f2b-85c0-de38be014792	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-8e159f55-1818-4ca9-8a1d-c366d1a875a7	viewer	Argentina	Perú	emprendimiento	0.444444	1.79176	0.5	3.80666	0.461111
0	470b82e7-945a-40c3-b3d5-2fe24279dfcc	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-7f1c06ad-ebd5-4e48-82a2-a2d4c8b88072	viewer	Chile	Perú	emprendimiento	0.714286	1.38629	0.7	2.83321	0.71
0	7bef5d65-234f-425f-bccf-a41662000ca9	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-c625f5b8-a809-4ce0-afe0-db3b69455cfb	viewer	Chile	Perú	emprendimiento	0.5	0	0.7	2.83321	0.56
0	c758078c-68df-4aa8-ba85-50a0cd6bdfe8	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-152bcd5b-f3be-484e-ae76-707ec40fbd83	viewer	Perú	Perú	emprendimiento	0.4	0.693147	0.545455	2.94444	0.443636
0	500bc1e7-b621-4589-b8d7-afe3543f44a6	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-a2d968e5-e617-4ab8-9358-d6cf4f2a8d25	viewer	Colombia	Perú	emprendimiento	0.625	1.60944	0.611111	3.49651	0.620833
0	6dfffc6e-7ca5-4385-9e73-e6d4d568fef0	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-45e88120-7889-4c50-b86b-6dc1e25f83de	viewer	Perú	Perú	emprendimiento	0.5	0	0.583333	3.04452	0.525
0	174eabc9-16e7-4833-9f94-1533074a4082	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-e07c819f-ebae-4618-bf20-8be048c0a660	viewer	Chile	Perú	emprendimiento	0.5	1.09861	0.565217	3.7612	0.519565
0	0086036d-3e93-4a59-988c-e5653c3e5780	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-752b0296-4845-4682-8079-f30933ae29a7	viewer	Colombia	Perú	emprendimiento	0.666667	1.09861	0.666667	3.29584	0.666667
0	f7860d6b-bf39-4536-ac94-bdbc1e36d26e	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-4b29574c-8d07-4a01-aa98-44cde55934dc	viewer	Perú	Perú	emprendimiento	0.5	0	0.7	2.83321	0.56
0	c5c1aa48-df84-4190-b5c4-04ae127aa8a8	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-a6597b49-7ce9-4e54-8ad9-fd216e1d31c7	viewer	Colombia	Perú	emprendimiento	0.5	0	0.7	2.83321	0.56
0	1901514f-bb64-4671-bce6-b9ef6c8528a4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-89cfaf42-d33c-4c39-aee8-16ba7dba95d8	viewer	Argentina	Perú	emprendimiento	0.75	1.60944	0.588235	3.43399	0.701471
0	a5efbd21-9c34-4f5b-9437-1fd4dd87b24b	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-dab354d9-bd8a-49ee-9a4b-8cf3fc795fcd	viewer	Chile	Perú	emprendimiento	0.571429	1.38629	0.74359	3.58352	0.623077
0	3bbf9ddc-03ff-407a-ac1f-1ed68ec64b5c	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-548d765d-c450-4cfa-803b-879ad2811631	viewer	Chile	Perú	emprendimiento	0.5	2.19722	0.641026	3.58352	0.542308
1	e5c0c60f-4a1c-494f-bb7f-a7d3125216c2	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-45ab907c-213b-4e7d-89bc-7aa5c495c435	viewer	Chile	Perú	emprendimiento	0.5	0	0.5	2.83321	0.5
1	e5c0c60f-4a1c-494f-bb7f-a7d3125216c2	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-50b2195b-2d11-4d5b-99e4-ec77fff4513c	viewer	Chile	Perú	emprendimiento	0.5	0	0.5	2.83321	0.5
1	e5c0c60f-4a1c-494f-bb7f-a7d3125216c2	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-97821b67-be9c-4325-b1dd-6a885c3a780a	viewer	Chile	Perú	emprendimiento	0.5	0	0.5	2.83321	0.5
0	49339648-ce7a-4db6-bacd-ca5d9b07b906	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-59763a38-b898-49e2-ae2c-b1c33a699c21	viewer	México	Perú	emprendimiento	0.6	0.693147	0.705882	3.43399	0.631765
0	7b561d28-1b95-4342-bcb0-e989647a85a1	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-ca0ff976-9efe-4593-b5ea-67bb02000209	viewer	Perú	Perú	emprendimiento	0.666667	1.09861	0.583333	3.04452	0.641667
0	f7415e1e-200f-4801-b3bf-1d752c18f26d	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-f4868e72-9daf-43a5-a6a8-1e43eb182611	viewer	Colombia	Perú	emprendimiento	0.4	0.693147	0.5	2.83321	0.43
0	a4d74304-9114-482c-988d-ea2ee45fd73c	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-eee85401-4bf8-44dc-ba90-08e441a33bc9	viewer	Chile	Perú	emprendimiento	0.714286	1.38629	0.545455	2.94444	0.663636
0	3af8d3ee-59a3-41e5-b873-7c397aa20be2	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-349e1d65-3698-4a91-b666-b78faadaf902	viewer	Argentina	Perú	emprendimiento	0.545455	2.07944	0.531915	3.78419	0.541393
0	d8ce1e76-d8f5-409b-bce1-29ca5a7371c0	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-18f65ea3-e5ac-4a0e-86e7-80f206a6a2e0	viewer	Perú	Perú	emprendimiento	0.5	0	0.7	2.83321	0.56
0	b881122e-1b79-43e4-a844-3c25fe4125e0	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-70f0d3d9-7c85-4516-990b-5c2acf31de16	viewer	Perú	Perú	emprendimiento	0.4	0.693147	0.545455	2.94444	0.443636
0	cd8c46ed-c31b-45f1-8c75-b521ac93b56a	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-40a47aab-338a-4f80-8228-33194ce9c33b	viewer	México	Perú	emprendimiento	0.4	0.693147	0.7	2.83321	0.49
0	cac44cb9-9694-4ca4-9f0a-2f0ba6c88245	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-9e294f87-f18b-4f9a-b9e9-ab5147a8078f	viewer	Colombia	Perú	emprendimiento	0.5	0	0.7	2.83321	0.56
0	0c4db05b-1733-4122-837b-66e11dd660af	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-d51720b5-d78f-483b-bcef-031043161d37	viewer	Argentina	Perú	emprendimiento	0.8	1.94591	0.763158	3.55535	0.788947
0	93cd03ed-81d1-49e2-bea8-b442ca06b25c	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-edfcd5c3-1dc9-4d05-a2b9-597b0026e1f5	viewer	México	Perú	emprendimiento	0.6	0.693147	0.7	2.83321	0.63
1	e5c0c60f-4a1c-494f-bb7f-a7d3125216c2	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-5a909e86-e707-459d-be6f-b611d6b9b13f	viewer	Chile	Perú	emprendimiento	0.5	0	0.5	2.83321	0.5
0	3a7cd12e-faad-45fc-aafa-7a6192b9a4a2	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-72ab8d66-1df6-42ce-85bb-d016b0d54074	viewer	Colombia	Perú	emprendimiento	0.285714	1.38629	0.47619	3.66356	0.342857
0	93a0618d-49e1-4184-b6d4-883c9eb1b7d9	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-fa1c7c16-301c-49aa-bafb-2c3a0ee32da9	viewer	Argentina	Perú	emprendimiento	0.4	0.693147	0.545455	2.94444	0.443636
0	bf7c62c1-8b4d-4ee5-9348-05ecf55d71fe	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-f8317d8d-bbc3-439e-abe6-1c541d49ba5e	viewer	Colombia	Perú	emprendimiento	0.5	0	0.7	2.83321	0.56
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-8618b56f-352a-4d6b-af03-b5e51e0c3efa	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
0	16a4616c-193e-4edf-936b-5cce609b4a16	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-ed55281c-3168-4480-afb0-4856645d1610	viewer	Perú	Perú	emprendimiento	0.5	0	0.709677	3.3322	0.562903
0	91aad2c0-f1d3-48ff-986c-8de95e311b7b	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-53636cce-e89f-46e0-9aab-fcfbec2af598	viewer	Chile	Perú	emprendimiento	0.5	0	0.7	2.83321	0.56
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-94ff89d4-a4ff-4bfc-96e5-c3ec171038cc	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-8618b56f-352a-4d6b-af03-b5e51e0c3efa	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-ffaa589a-2703-47a1-a614-0a9e6dd97d50	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
0	a7e0b438-6e05-4e69-95b5-0a8c61e18d5a	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-abba545b-8b2a-4699-bddd-cb493a2b6df2	viewer	Colombia	Perú	emprendimiento	0.4	0.693147	0.583333	3.04452	0.455
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-33009fdf-1255-409d-9bf4-2b3e06350ee2	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-44244930-a97e-474c-ac9b-580d4b6dbd02	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-66988669-1bd5-48f6-9974-068e200c9c0c	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-ac80b403-6563-4202-b772-554761eb890f	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-7af1d06a-d08d-4cb2-8a39-9a46aa27c345	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-92ae99b3-208a-438b-b355-71ca8434f0d0	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-997283d7-24ae-468c-8b3c-77bb9772dac1	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-50ce7c91-4dfb-4382-a266-eac512cfb9f5	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
