complete_response	user_id	video_id	session_id	user_role	user_region	video_region	category	audio_id	tags	prior_category_rate	prior_category_count	prior_overall_rate	prior_overall_count	prior_region_rate	prior_region_count	duration_s	same_region
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	63ae657b-409e-4c20-8c6c-b1a3e90647f2	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-2	viewer	México	México	musica	audio-musica-1	musica|laboratorio|corto|veta|mexico	0.666667	1.09861	0.551724	3.2581	0.666667	2.48491	15	1
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	638e4a6d-5a5c-4476-8980-093be0af0173	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-2	viewer	México	México	idiomas	audio-idiomas-0	idiomas|laboratorio|corto|veta|mexico	0.666667	1.09861	0.551724	3.2581	0.666667	2.48491	15	1
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	ce558100-624b-4ace-96d9-e5e2adad8fe0	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-3	viewer	México	México	arte	audio-arte-0	arte|laboratorio|corto|veta|mexico	0.4	0.693147	0.558824	3.43399	0.684211	2.77259	15	1
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	6537f6eb-23dc-46c2-94a3-3b5bf472bcba	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-3	viewer	México	Colombia	cocina	audio-cocina-0	cocina|laboratorio|corto|veta|colombia	0.4	0.693147	0.558824	3.43399	0.428571	1.38629	15	0
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	984d2ec5-5d09-412e-9dd8-bec4d23232b0	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-3	viewer	México	México	comedia	audio-comedia-1	comedia|laboratorio|corto|veta|mexico	0.5	1.09861	0.558824	3.43399	0.684211	2.77259	15	1
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	64d963e5-a7f3-4ada-9c2e-298605b97c24	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-3	viewer	México	México	naturaleza	audio-naturaleza-1	naturaleza|laboratorio|corto|veta|mexico	0.666667	1.09861	0.558824	3.43399	0.684211	2.77259	15	1
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	63ae657b-409e-4c20-8c6c-b1a3e90647f2	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-3	viewer	México	México	musica	audio-musica-1	musica|laboratorio|corto|veta|mexico	0.714286	1.38629	0.558824	3.43399	0.684211	2.77259	15	1
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	dd67de5a-a7c9-4584-9dd8-ae4b9b6032be	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-4	viewer	México	México	baile	audio-baile-1	baile|laboratorio|corto|veta|mexico	0.5	0	0.564103	3.58352	0.695652	2.99573	15	1
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	670cfcbe-2bfb-4800-88d6-fef2f615cdc7	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-4	viewer	México	Chile	deporte	audio-deporte-0	deporte|laboratorio|corto|veta|chile	0.4	0.693147	0.564103	3.58352	0.428571	1.38629	15	0
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	984d2ec5-5d09-412e-9dd8-bec4d23232b0	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-4	viewer	México	México	comedia	audio-comedia-1	comedia|laboratorio|corto|veta|mexico	0.571429	1.38629	0.564103	3.58352	0.695652	2.99573	15	1
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	64d963e5-a7f3-4ada-9c2e-298605b97c24	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-4	viewer	México	México	naturaleza	audio-naturaleza-1	naturaleza|laboratorio|corto|veta|mexico	0.714286	1.38629	0.564103	3.58352	0.695652	2.99573	15	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-1	creator	México	Perú	emprendimiento	audio-emprendimiento-0	emprendimiento|laboratorio|corto	0.714286	1.38629	0.714286	2.3979	0.5	0	17.6	0
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	e411ca7f-071b-48a8-9382-efcf5cf16ddc	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-1	creator	México	México	emprendimiento	audio-emprendimiento-1	emprendimiento|laboratorio|corto	0.714286	1.38629	0.714286	2.3979	0.8	1.94591	20.1	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	b6180ff0-e20b-4c0c-a80c-5ec6c1a23201	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-1	creator	México	Chile	cine	audio-cine-0	cine|laboratorio|corto	0.6	0.693147	0.714286	2.3979	0.4	0.693147	17.2	0
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	3543971d-3694-404d-b8e6-a606f73e9e06	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-1	creator	México	Colombia	musica	audio-musica-0	musica|laboratorio|corto	0.4	0.693147	0.714286	2.3979	0.6	0.693147	12.8	0
0	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	fb6be66f-16c0-44e2-9474-0e5e00fcc304	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-1	creator	México	Perú	cocina	audio-cocina-2	cocina|laboratorio|corto	0.6	0.693147	0.714286	2.3979	0.5	0	18.2	0
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	3813993c-d739-4a01-ac56-42fb6944755a	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-1	creator	México	México	naturaleza	audio-naturaleza-1	naturaleza|laboratorio|corto	0.4	0.693147	0.714286	2.3979	0.8	1.94591	17.7	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	ee6200a3-9ddf-43b2-bfd5-89026b022959	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-1	creator	México	México	comedia	audio-comedia-1	comedia|laboratorio|corto	0.6	0.693147	0.714286	2.3979	0.8	1.94591	14.5	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	14c1b002-4cbc-4f84-861c-7ad57f57d917	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-1	creator	México	México	ciencia	audio-ciencia-0	ciencia|laboratorio|corto	0.6	0.693147	0.714286	2.3979	0.8	1.94591	12.4	1
0	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	90fe24c2-caf9-44a4-99b5-f59295123e63	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-1	creator	México	Chile	musica	audio-musica-2	musica|laboratorio|corto	0.4	0.693147	0.714286	2.3979	0.4	0.693147	17.8	0
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	ab2dc4ce-1188-4e10-83d7-245d38fa0443	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-1	creator	México	México	tecnologia	audio-tecnologia-0	tecnologia|laboratorio|corto	0.6	0.693147	0.714286	2.3979	0.8	1.94591	22.3	1
0	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	1f293687-9d74-4671-8410-133fd1ab967b	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-1	creator	México	Perú	cine	audio-cine-1	cine|laboratorio|corto	0.6	0.693147	0.714286	2.3979	0.5	0	19.7	0
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	e411ca7f-071b-48a8-9382-efcf5cf16ddc	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-1	creator	México	México	emprendimiento	audio-emprendimiento-1	emprendimiento|laboratorio|corto	0.714286	1.38629	0.714286	2.3979	0.8	1.94591	20.1	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	4082b3e6-21fa-4a74-8591-d4368a79ef59	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-2	creator	México	México	baile	audio-baile-0	baile|laboratorio|corto	0.5	0	0.730769	3.13549	0.875	2.56495	16	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	3813993c-d739-4a01-ac56-42fb6944755a	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-2	creator	México	México	naturaleza	audio-naturaleza-1	naturaleza|laboratorio|corto	0.5	1.09861	0.730769	3.13549	0.875	2.56495	17.7	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	ee6200a3-9ddf-43b2-bfd5-89026b022959	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-2	creator	México	México	comedia	audio-comedia-1	comedia|laboratorio|corto	0.666667	1.09861	0.730769	3.13549	0.875	2.56495	14.5	1
0	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	1f293687-9d74-4671-8410-133fd1ab967b	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-2	creator	México	Perú	cine	audio-cine-1	cine|laboratorio|corto	0.571429	1.38629	0.730769	3.13549	0.428571	1.38629	19.7	0
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	14c1b002-4cbc-4f84-861c-7ad57f57d917	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-2	creator	México	México	ciencia	audio-ciencia-0	ciencia|laboratorio|corto	0.666667	1.09861	0.730769	3.13549	0.875	2.56495	12.4	1
0	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	80e47064-ad8e-4049-b3b5-5da0379ec673	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-2	creator	México	Colombia	manualidades	audio-manualidades-0	manualidades|laboratorio|corto	0.5	0	0.730769	3.13549	0.666667	1.09861	16.4	0
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	ab2dc4ce-1188-4e10-83d7-245d38fa0443	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-2	creator	México	México	tecnologia	audio-tecnologia-0	tecnologia|laboratorio|corto	0.666667	1.09861	0.730769	3.13549	0.875	2.56495	22.3	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	75d699fd-c9d9-46c1-a6e8-be8013820549	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-3	creator	México	México	salud	audio-salud-0	salud|laboratorio|corto	0.5	0	0.727273	3.4012	0.904762	2.89037	24.3	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	4082b3e6-21fa-4a74-8591-d4368a79ef59	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-3	creator	México	México	baile	audio-baile-0	baile|laboratorio|corto	0.6	0.693147	0.727273	3.4012	0.904762	2.89037	16	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	3813993c-d739-4a01-ac56-42fb6944755a	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-3	creator	México	México	naturaleza	audio-naturaleza-1	naturaleza|laboratorio|corto	0.571429	1.38629	0.727273	3.4012	0.904762	2.89037	17.7	1
0	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	550d2983-3598-4f94-bbdb-25e415547f5a	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-3	creator	México	Colombia	naturaleza	audio-naturaleza-0	naturaleza|laboratorio|corto	0.571429	1.38629	0.727273	3.4012	0.571429	1.38629	22.7	0
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	ee6200a3-9ddf-43b2-bfd5-89026b022959	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-3	creator	México	México	comedia	audio-comedia-1	comedia|laboratorio|corto	0.714286	1.38629	0.727273	3.4012	0.904762	2.89037	14.5	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	14c1b002-4cbc-4f84-861c-7ad57f57d917	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-3	creator	México	México	ciencia	audio-ciencia-0	ciencia|laboratorio|corto	0.714286	1.38629	0.727273	3.4012	0.904762	2.89037	12.4	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	75d699fd-c9d9-46c1-a6e8-be8013820549	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-4	creator	México	México	salud	audio-salud-0	salud|laboratorio|corto	0.6	0.693147	0.74359	3.58352	0.923077	3.13549	24.3	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	4082b3e6-21fa-4a74-8591-d4368a79ef59	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-4	creator	México	México	baile	audio-baile-0	baile|laboratorio|corto	0.666667	1.09861	0.74359	3.58352	0.923077	3.13549	16	1
0	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	02d46b59-4ae5-4be3-a518-74e3a9809843	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-4	creator	México	Colombia	cocina	audio-cocina-1	cocina|laboratorio|corto|veta|colombia	0.5	1.09861	0.74359	3.58352	0.5	1.60944	15	0
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	14c1b002-4cbc-4f84-861c-7ad57f57d917	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-4	creator	México	México	ciencia	audio-ciencia-0	ciencia|laboratorio|corto	0.75	1.60944	0.74359	3.58352	0.923077	3.13549	12.4	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	3813993c-d739-4a01-ac56-42fb6944755a	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-4	creator	México	México	naturaleza	audio-naturaleza-1	naturaleza|laboratorio|corto	0.555556	1.79176	0.74359	3.58352	0.923077	3.13549	17.7	1
0	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	f093908d-72ec-4f94-aa21-3256493a8f25	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-4	creator	México	Chile	naturaleza	audio-naturaleza-0	naturaleza|laboratorio|corto|veta|chile	0.555556	1.79176	0.74359	3.58352	0.428571	1.38629	15	0
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	ab2dc4ce-1188-4e10-83d7-245d38fa0443	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-4	creator	México	México	tecnologia	audio-tecnologia-0	tecnologia|laboratorio|corto	0.714286	1.38629	0.74359	3.58352	0.923077	3.13549	22.3	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	ee6200a3-9ddf-43b2-bfd5-89026b022959	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-4	creator	México	México	comedia	audio-comedia-1	comedia|laboratorio|corto	0.75	1.60944	0.74359	3.58352	0.923077	3.13549	14.5	1
1	0596d6cb-f6ff-41eb-932b-eb09f450e5f2	e411ca7f-071b-48a8-9382-efcf5cf16ddc	sim-0596d6cb-f6ff-41eb-932b-eb09f450e5f2-4	creator	México	México	emprendimiento	audio-emprendimiento-1	emprendimiento|laboratorio|corto	0.8	1.94591	0.74359	3.58352	0.923077	3.13549	20.1	1
1	b5981152-397d-4300-80a5-4acf8a5567c9	b620577e-57ee-43e3-8e1a-0490f4680265	sim-b5981152-397d-4300-80a5-4acf8a5567c9-1	creator	México	Argentina	tecnologia	audio-tecnologia-1	tecnologia|laboratorio|corto	0.5	0	0.666667	2.48491	0.6	0.693147	17.3	0
1	b5981152-397d-4300-80a5-4acf8a5567c9	abf3dbe4-585f-4773-a32a-90873b1dff4e	sim-b5981152-397d-4300-80a5-4acf8a5567c9-1	creator	México	Colombia	tecnologia	audio-tecnologia-0	tecnologia|laboratorio|corto	0.5	0	0.666667	2.48491	0.666667	1.09861	14.8	0
1	b5981152-397d-4300-80a5-4acf8a5567c9	e411ca7f-071b-48a8-9382-efcf5cf16ddc	sim-b5981152-397d-4300-80a5-4acf8a5567c9-1	creator	México	México	emprendimiento	audio-emprendimiento-1	emprendimiento|laboratorio|corto	0.666667	1.09861	0.666667	2.48491	0.6	1.94591	20.1	1
0	b5981152-397d-4300-80a5-4acf8a5567c9	b620577e-57ee-43e3-8e1a-0490f4680265	sim-b5981152-397d-4300-80a5-4acf8a5567c9-1	creator	México	Argentina	tecnologia	audio-tecnologia-1	tecnologia|laboratorio|corto	0.5	0	0.666667	2.48491	0.6	0.693147	17.3	0
0	b5981152-397d-4300-80a5-4acf8a5567c9	1650d8f6-642c-41b6-9eb6-cef21aca7a2d	sim-b5981152-397d-4300-80a5-4acf8a5567c9-1	creator	México	Argentina	musica	audio-musica-1	musica|laboratorio|corto|veta|argentina	0.5	0	0.666667	2.48491	0.6	0.693147	15	0
1	b5981152-397d-4300-80a5-4acf8a5567c9	dab55f58-b1b5-4664-bc4f-50976474f440	sim-b5981152-397d-4300-80a5-4acf8a5567c9-1	creator	México	México	cocina	audio-cocina-0	cocina|laboratorio|corto	0.4	0.693147	0.666667	2.48491	0.6	1.94591	20.7	1
1	b5981152-397d-4300-80a5-4acf8a5567c9	40319669-6970-400b-b06f-1de14b015e29	sim-b5981152-397d-4300-80a5-4acf8a5567c9-1	creator	México	México	historia	audio-historia-0	historia|laboratorio|corto	0.666667	1.09861	0.666667	2.48491	0.6	1.94591	15.6	1
1	b5981152-397d-4300-80a5-4acf8a5567c9	779d3731-a205-44d2-b6c2-88e7e494e1cc	sim-b5981152-397d-4300-80a5-4acf8a5567c9-1	creator	México	México	comedia	audio-comedia-0	comedia|laboratorio|corto	0.6	0.693147	0.666667	2.48491	0.6	1.94591	12	1
0	b5981152-397d-4300-80a5-4acf8a5567c9	170f9759-8103-49de-b752-aa5a4a9d5cfa	sim-b5981152-397d-4300-80a5-4acf8a5567c9-2	creator	México	Perú	musica	audio-musica-1	musica|laboratorio|corto|veta|peru	0.4	0.693147	0.695652	2.99573	0.5	1.09861	15	0
1	b5981152-397d-4300-80a5-4acf8a5567c9	a4228f30-3972-4722-bd08-dfa360a32368	sim-b5981152-397d-4300-80a5-4acf8a5567c9-2	creator	México	México	naturaleza	audio-naturaleza-2	naturaleza|laboratorio|corto	0.5	0	0.695652	2.99573	0.714286	2.3979	20.2	1
1	b5981152-397d-4300-80a5-4acf8a5567c9	dab55f58-b1b5-4664-bc4f-50976474f440	sim-b5981152-397d-4300-80a5-4acf8a5567c9-2	creator	México	México	cocina	audio-cocina-0	cocina|laboratorio|corto	0.5	1.09861	0.695652	2.99573	0.714286	2.3979	20.7	1
1	b5981152-397d-4300-80a5-4acf8a5567c9	40319669-6970-400b-b06f-1de14b015e29	sim-b5981152-397d-4300-80a5-4acf8a5567c9-2	creator	México	México	historia	audio-historia-0	historia|laboratorio|corto	0.714286	1.38629	0.695652	2.99573	0.714286	2.3979	15.6	1
